latitude,longitude,date,0,LST
40.343056,-123.383056,2022-10-29,,279.6991
40.343056,-123.383056,2022-10-30,,282.05862
40.343056,-123.383056,2022-10-31,,282.50983
40.343056,-123.383056,2022-11-01,,282.05792
40.343056,-123.383056,2022-11-02,,280.93616
40.343056,-123.383056,2022-11-03,,278.15268
40.343056,-123.383056,2022-11-04,,275.22122
40.343056,-123.383056,2022-11-05,,271.64886
40.343056,-123.383056,2022-11-06,,276.62152
40.343056,-123.383056,2022-11-07,,278.77765
40.343056,-123.383056,2022-11-08,,
40.343056,-123.383056,2022-11-09,,282.2044
40.343056,-123.383056,2022-11-10,,276.66214
40.343056,-123.383056,2022-11-11,,272.2149
40.343056,-123.383056,2022-11-12,,270.68454
40.343056,-123.383056,2022-11-13,,271.04504
40.343056,-123.383056,2022-11-14,,272.85895
40.343056,-123.383056,2022-11-15,,272.23447
40.343056,-123.383056,2022-11-16,,271.6851
40.343056,-123.383056,2022-11-17,,272.70288
40.343056,-123.383056,2022-11-18,,271.20306
40.343056,-123.383056,2022-11-19,,269.4915
40.343056,-123.383056,2022-11-20,,270.75525
40.343056,-123.383056,2022-11-21,,272.5028
40.343056,-123.383056,2022-11-22,,272.0813
40.343056,-123.383056,2022-11-23,,271.76236
40.343056,-123.383056,2022-11-24,,274.2126
40.343056,-123.383056,2022-11-25,,274.6488
40.343056,-123.383056,2022-11-26,,275.0362
40.343056,-123.383056,2022-11-27,,275.94748
40.343056,-123.383056,2022-11-28,,274.081
40.343056,-123.383056,2022-11-29,,273.66428
40.343056,-123.383056,2022-11-30,,268.19006
40.343056,-123.383056,2022-12-01,,270.85226
40.343056,-123.383056,2022-12-02,,273.70178
40.343056,-123.383056,2022-12-03,,268.90598
40.343056,-123.383056,2022-12-04,,267.48132
40.343056,-123.383056,2022-12-05,,273.85934
40.343056,-123.383056,2022-12-06,,273.40628
40.343056,-123.383056,2022-12-07,,268.34976
40.343056,-123.383056,2022-12-08,,271.21268
40.343056,-123.383056,2022-12-09,,269.48148
40.343056,-123.383056,2022-12-10,,268.9591
40.343056,-123.383056,2022-12-11,,269.97083
40.343056,-123.383056,2022-12-12,,271.38892
40.343056,-123.383056,2022-12-13,,269.4829
40.343056,-123.383056,2022-12-14,,267.98523
40.343056,-123.383056,2022-12-15,,267.1786
40.343056,-123.383056,2022-12-16,,266.14862
40.343056,-123.383056,2022-12-17,,265.77133
40.343056,-123.383056,2022-12-18,,266.18253
40.343056,-123.383056,2022-12-19,,266.60727
40.343056,-123.383056,2022-12-20,,265.3371
40.343056,-123.383056,2022-12-21,,270.62878
40.343056,-123.383056,2022-12-22,,271.4375
40.343056,-123.383056,2022-12-23,,251.43723
40.343056,-123.383056,2022-12-24,,268.40732
40.343056,-123.383056,2022-12-25,,271.72223
40.343056,-123.383056,2022-12-26,,270.94775
40.343056,-123.383056,2022-12-27,,265.468
40.343056,-123.383056,2022-12-28,,270.29184
40.343056,-123.383056,2022-12-29,,269.25037
40.343056,-123.383056,2022-12-30,,264.59744
40.343056,-123.383056,2022-12-31,,269.24338
40.343056,-123.383056,2023-01-01,,273.76932
40.343056,-123.383056,2023-01-02,,274.37228
40.343056,-123.383056,2023-01-03,,262.57446
40.343056,-123.383056,2023-01-04,,265.01688
40.343056,-123.383056,2023-01-05,,265.32147
40.343056,-123.383056,2023-01-06,,267.38498
40.343056,-123.383056,2023-01-07,,270.9804
40.343056,-123.383056,2023-01-08,,268.34174
40.343056,-123.383056,2023-01-09,,270.0832
40.343056,-123.383056,2023-01-10,,274.27747
40.343056,-123.383056,2023-01-11,,270.4806
40.343056,-123.383056,2023-01-12,,268.88168
40.343056,-123.383056,2023-01-13,,268.93732
40.343056,-123.383056,2023-01-14,,269.56985
40.343056,-123.383056,2023-01-15,,270.81613
40.343056,-123.383056,2023-01-16,,268.4337
40.343056,-123.383056,2023-01-17,,270.68365
40.343056,-123.383056,2023-01-18,,268.81067
40.343056,-123.383056,2023-01-19,,265.94287
40.343056,-123.383056,2023-01-20,,269.00238
40.343056,-123.383056,2023-01-21,,267.81412
40.343056,-123.383056,2023-01-22,,266.1571
40.343056,-123.383056,2023-01-23,,268.14053
40.343056,-123.383056,2023-01-24,,269.25467
40.343056,-123.383056,2023-01-25,,269.59177
40.343056,-123.383056,2023-01-26,,270.12347
40.343056,-123.383056,2023-01-27,,271.02118
40.343056,-123.383056,2023-01-28,,273.78677
40.343056,-123.383056,2023-01-29,,271.48813
40.343056,-123.383056,2023-01-30,,265.55698
40.343056,-123.383056,2023-01-31,,263.6931
40.343056,-123.383056,2023-02-01,,265.7195
40.343056,-123.383056,2023-02-02,,267.5523
40.343056,-123.383056,2023-02-03,,269.06247
40.343056,-123.383056,2023-02-04,,271.5229
40.343056,-123.383056,2023-02-05,,271.99988
40.343056,-123.383056,2023-02-06,,272.90198
40.343056,-123.383056,2023-02-07,,271.56293
40.343056,-123.383056,2023-02-08,,273.13306
40.343056,-123.383056,2023-02-09,,275.06595
40.343056,-123.383056,2023-02-10,,272.82303
40.343056,-123.383056,2023-02-11,,272.16812
40.343056,-123.383056,2023-02-12,,275.26285
40.343056,-123.383056,2023-02-13,,275.7836
40.343056,-123.383056,2023-02-14,,275.42517
40.343056,-123.383056,2023-02-15,,270.30225
40.343056,-123.383056,2023-02-16,,270.70087
40.343056,-123.383056,2023-02-17,,264.695
40.343056,-123.383056,2023-02-18,,273.111
40.343056,-123.383056,2023-02-19,,272.28778
40.343056,-123.383056,2023-02-20,,275.73355
40.343056,-123.383056,2023-02-21,,277.71677
40.343056,-123.383056,2023-02-22,,275.0524
40.343056,-123.383056,2023-02-23,,267.21057
40.343056,-123.383056,2023-02-24,,266.5855
40.343056,-123.383056,2023-02-25,,269.7534
40.343056,-123.383056,2023-02-26,,272.74048
40.343056,-123.383056,2023-02-27,,271.0957
40.343056,-123.383056,2023-02-28,,274.01755
40.343056,-123.383056,2023-03-01,,273.6589
40.343056,-123.383056,2023-03-02,,270.90692
40.343056,-123.383056,2023-03-03,,272.79996
40.343056,-123.383056,2023-03-04,,272.52405
40.343056,-123.383056,2023-03-05,,275.43228
40.343056,-123.383056,2023-03-06,,274.69415
40.343056,-123.383056,2023-03-07,,273.91846
40.343056,-123.383056,2023-03-08,,273.22034
40.343056,-123.383056,2023-03-09,,273.71448
40.343056,-123.383056,2023-03-10,,273.51266
40.343056,-123.383056,2023-03-11,,275.4412
40.343056,-123.383056,2023-03-12,,274.43384
40.343056,-123.383056,2023-03-13,,275.2382
40.343056,-123.383056,2023-03-14,,276.75012
40.343056,-123.383056,2023-03-15,,277.9885
40.343056,-123.383056,2023-03-16,,277.80212
